rank,modelo,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,brier_mean,f1@0.5_mean,recall@0.5_mean,precision@0.5_mean,bal_acc@0.5_mean,mcc@0.5_mean,oof_threshold,oof_f1,oof_recall,oof_precision,oof_mcc
1,catboost,0.33277397993456753,0.032264021634402736,0.7666040986730412,0.022281819181357344,0.1890038283697268,0.3609887903824212,0.678511651396003,0.24598307908866693,0.6960067873489446,0.27116946569403644,0.485,0.3535123653466849,0.7013847080072245,0.2363083164300203,0.2645422522645146
2,xgboost,0.33036251364591396,0.035981774662419454,0.7619158743190837,0.023591469573028954,0.19816789478063584,0.3456016677862831,0.6616586104898637,0.23392353590601295,0.6816075715895572,0.24969631554544325,0.489,0.3452030606238964,0.7062010836845274,0.22843232716650438,0.2545172252203085
3,random_forest,0.3285695021826243,0.03785974810165571,0.7619833267475197,0.023539805469126013,0.18536551542373506,0.35702426106805785,0.6532176610634153,0.2458526423435586,0.6884608085393183,0.2633307775040718,0.47500000000000003,0.3454626466656765,0.7001806140878989,0.2292981072555205,0.2540605001193621
4,adaboost,0.31381339521781937,0.03686387640262673,0.747693059621359,0.028537705559213984,0.22672744902701975,0.3397364751470183,0.6484128129283601,0.2301953398130286,0.674903611999436,0.24070533749838727,0.494,0.3369815668202765,0.7043949428055388,0.22146507666098808,0.24351147318006414
5,decision_tree,0.2888230733079584,0.03141819062871224,0.7299407434119785,0.025686259580026623,0.20104675625693974,0.33570801436460196,0.6231188225957723,0.23025706537209784,0.6675630721086317,0.23329211246611298,0.446,0.30962886062808204,0.7182420228777845,0.19735318444995864,0.20750471895498876
