rank,modelo,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,brier_mean,f1@0.5_mean,recall@0.5_mean,precision@0.5_mean,bal_acc@0.5_mean,mcc@0.5_mean,oof_threshold,oof_f1,oof_recall,oof_precision,oof_mcc
1,catboost,0.24796267452909887,0.027551805579874685,0.6883767212365737,0.02561863314532302,0.21507328875710666,0.29708665369943804,0.6164778875982975,0.19574932158887506,0.6336361968148447,0.17958300737497726,0.459,0.2860995341995587,0.7025888019265503,0.179621363706326,0.17019413833327932
2,random_forest,0.24712542178338098,0.029756021300778746,0.6849499947861616,0.025387405875572384,0.21170383111396673,0.2947213547187075,0.5900151504220474,0.19648706546427924,0.6284508360850768,0.17435958769863708,0.461,0.2875430822255047,0.7031908488862131,0.18072102738666254,0.17253165958817054
3,xgboost,0.24126447351189334,0.029671700483754754,0.6841848848887897,0.02950858832225518,0.21987700015306472,0.29045757437995834,0.6104501839694105,0.19063002690650704,0.6264336068103006,0.1694153287307098,0.467,0.28627595527706107,0.7013847080072245,0.17983945662241432,0.17035432961072053
4,adaboost,0.22725972966099225,0.0284268449417058,0.6727561716056888,0.030604269114288315,0.23896504214342262,0.28725208848224726,0.602041699733064,0.18867138754566629,0.6224377625369282,0.16415174543017383,0.492,0.284841822401368,0.7019867549668874,0.1786699356420472,0.16813886477982876
5,decision_tree,0.2041972030549984,0.025835477511623427,0.6458032232792315,0.028552674877142102,0.22569466732836121,0.27328172003117707,0.5610994877714451,0.18123288992888292,0.6049117512761563,0.142001090998083,0.431,0.2627424447451511,0.7013847080072245,0.161648397391425,0.13080780064512706
