rank,modelo,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,brier_mean,f1@0.5_mean,recall@0.5_mean,precision@0.5_mean,bal_acc@0.5_mean,mcc@0.5_mean,oof_threshold,oof_f1,oof_recall,oof_precision,oof_mcc
1,catboost,0.4471519325028367,0.04183490681924096,0.8265351962133536,0.017469458091192193,0.16160639682383354,0.4175719466613225,0.7116369670297958,0.29562906678059075,0.7390301224158289,0.3431992614954011,0.511,0.42334969994544464,0.7007826610475617,0.30328295987493487,0.34809582520144844
2,xgboost,0.4460153821819743,0.045822171235282275,0.8238609812891479,0.018353762569709886,0.15986378639936447,0.4193848244011177,0.7068104754346729,0.2982936048020742,0.7388148081225718,0.34451971505752765,0.505,0.42212148685403444,0.7007826610475617,0.3020238713025428,0.3466908939301875
3,random_forest,0.41915988095523654,0.043631207370933456,0.8170823061856657,0.01962565917392904,0.1668844969441977,0.4130931956414611,0.6887670442248034,0.29517670522915146,0.7311624903417941,0.33496892563844793,0.493,0.40884365678189155,0.7013847080072245,0.2885091629519564,0.331469962832527
4,adaboost,0.4119608114230105,0.04352500286280938,0.8072658311117188,0.02075509465684249,0.224056163594756,0.3939288417686161,0.7146526224659115,0.27197407271770874,0.7256491162947836,0.3160762575619726,0.501,0.39749873246577655,0.708007224563516,0.27631578947368424,0.31912963895644547
5,decision_tree,0.33243754717530744,0.03815219519431137,0.758967229086946,0.026836683467560185,0.18784675806642287,0.3781726152313699,0.621982540942212,0.2736191729055007,0.6953222779509955,0.2864193544965388,0.465,0.34278199883109295,0.7062010836845274,0.22631680493922438,0.2513684824773454
